carriers,locs,techs,timesteps,carrier_prod
power,AA,CCGT_pp,2019-01-07 11:00:00,441848.62593
power,AA,CCGT_pp,2019-01-07 12:00:00,382794.712884
power,AA,CCGT_pp,2019-01-07 13:00:00,444175.249176
power,AA,CCGT_pp,2019-01-07 14:00:00,431469.9832
power,AA,CCGT_pp,2019-01-07 15:00:00,415157.660743
power,AA,CCGT_pp,2019-01-07 16:00:00,515721.578192
power,AA,CCGT_pp,2019-01-07 17:00:00,621156.690467
power,AA,CCGT_pp,2019-01-07 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-07 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-07 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-07 21:00:00,794155.923179
power,AA,CCGT_pp,2019-01-07 22:00:00,689379.480361
power,AA,CCGT_pp,2019-01-07 23:00:00,651079.894102
power,AA,CCGT_pp,2019-01-08 00:00:00,558555.736561
power,AA,CCGT_pp,2019-01-08 01:00:00,529691.702773
power,AA,CCGT_pp,2019-01-08 02:00:00,484345.310608
power,AA,CCGT_pp,2019-01-08 03:00:00,483668.498793
power,AA,CCGT_pp,2019-01-08 04:00:00,495134.487353
power,AA,CCGT_pp,2019-01-08 05:00:00,545278.281123
power,AA,CCGT_pp,2019-01-08 06:00:00,435240.482673
power,AA,CCGT_pp,2019-01-08 07:00:00,431345.422369
power,AA,CCGT_pp,2019-01-08 08:00:00,449150.121397
power,AA,CCGT_pp,2019-01-08 09:00:00,463762.824779
power,AA,CCGT_pp,2019-01-08 10:00:00,514250.501674
power,AA,CCGT_pp,2019-01-08 11:00:00,572690.799937
power,AA,CCGT_pp,2019-01-08 12:00:00,464481.297329
power,AA,CCGT_pp,2019-01-08 13:00:00,477626.708321
power,AA,CCGT_pp,2019-01-08 14:00:00,537588.175419
power,AA,CCGT_pp,2019-01-08 15:00:00,540806.952438
power,AA,CCGT_pp,2019-01-08 16:00:00,546174.525335
power,AA,CCGT_pp,2019-01-08 17:00:00,675218.792572
power,AA,CCGT_pp,2019-01-08 18:00:00,844847.137929
power,AA,CCGT_pp,2019-01-08 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-08 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-08 21:00:00,429165.24079
power,AA,CCGT_pp,2019-01-08 22:00:00,615597.038833
power,AA,CCGT_pp,2019-01-08 23:00:00,565373.620282
power,AA,CCGT_pp,2019-01-09 00:00:00,486077.152726
power,AA,CCGT_pp,2019-01-09 01:00:00,427851.429693
power,AA,CCGT_pp,2019-01-09 02:00:00,384853.97257
power,AA,CCGT_pp,2019-01-09 03:00:00,371317.736051
power,AA,CCGT_pp,2019-01-09 04:00:00,406750.825704
power,AA,CCGT_pp,2019-01-09 05:00:00,457511.712508
power,AA,CCGT_pp,2019-01-09 06:00:00,279879.918104
power,AA,CCGT_pp,2019-01-09 07:00:00,279925.722966
power,AA,CCGT_pp,2019-01-09 08:00:00,304984.428438
power,AA,CCGT_pp,2019-01-09 09:00:00,337457.684102
power,AA,CCGT_pp,2019-01-09 10:00:00,403675.071824
power,AA,CCGT_pp,2019-01-09 11:00:00,398269.113096
power,AA,CCGT_pp,2019-01-09 12:00:00,492241.943729
power,AA,CCGT_pp,2019-01-09 13:00:00,529074.604142
power,AA,CCGT_pp,2019-01-09 14:00:00,595617.467949
power,AA,CCGT_pp,2019-01-09 15:00:00,595496.709629
power,AA,CCGT_pp,2019-01-09 16:00:00,554834.240777
power,AA,CCGT_pp,2019-01-09 17:00:00,638457.964957
power,AA,CCGT_pp,2019-01-09 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-09 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-09 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-09 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-09 22:00:00,792035.909243
power,AA,CCGT_pp,2019-01-09 23:00:00,712012.864209
power,AA,CCGT_pp,2019-01-10 00:00:00,706956.681704
power,AA,CCGT_pp,2019-01-10 01:00:00,659958.072209
power,AA,CCGT_pp,2019-01-10 02:00:00,666019.519944
power,AA,CCGT_pp,2019-01-10 03:00:00,594247.607057
power,AA,CCGT_pp,2019-01-10 04:00:00,648163.631262
power,AA,CCGT_pp,2019-01-10 05:00:00,629959.383873
power,AA,CCGT_pp,2019-01-10 06:00:00,526016.14606
power,AA,CCGT_pp,2019-01-10 07:00:00,515139.07868
power,AA,CCGT_pp,2019-01-10 08:00:00,564406.304063
power,AA,CCGT_pp,2019-01-10 09:00:00,546194.843554
power,AA,CCGT_pp,2019-01-10 10:00:00,570489.847534
power,AA,CCGT_pp,2019-01-10 11:00:00,606219.345027
power,AA,CCGT_pp,2019-01-10 12:00:00,616830.344613
power,AA,CCGT_pp,2019-01-10 13:00:00,671031.567474
power,AA,CCGT_pp,2019-01-10 14:00:00,691164.543485
power,AA,CCGT_pp,2019-01-10 15:00:00,734690.02447
power,AA,CCGT_pp,2019-01-10 16:00:00,705529.398303
power,AA,CCGT_pp,2019-01-10 17:00:00,672184.927362
power,AA,CCGT_pp,2019-01-10 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-10 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-10 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-10 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-10 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-10 23:00:00,807791.691021
power,AA,CCGT_pp,2019-01-11 00:00:00,725977.084635
power,AA,CCGT_pp,2019-01-11 01:00:00,757030.803648
power,AA,CCGT_pp,2019-01-11 02:00:00,699203.205577
power,AA,CCGT_pp,2019-01-11 03:00:00,658992.620099
power,AA,CCGT_pp,2019-01-11 04:00:00,676410.57226
power,AA,CCGT_pp,2019-01-11 05:00:00,691638.837999
power,AA,CCGT_pp,2019-01-11 06:00:00,527863.990128
power,AA,CCGT_pp,2019-01-11 07:00:00,585954.585985
power,AA,CCGT_pp,2019-01-11 08:00:00,595444.282975
power,AA,CCGT_pp,2019-01-11 09:00:00,641637.211001
power,AA,CCGT_pp,2019-01-11 10:00:00,656560.353432
power,AA,CCGT_pp,2019-01-11 11:00:00,682969.589894
power,AA,CCGT_pp,2019-01-11 12:00:00,621523.002169
power,AA,CCGT_pp,2019-01-11 13:00:00,718434.951538
power,AA,CCGT_pp,2019-01-11 14:00:00,708941.659634
power,AA,CCGT_pp,2019-01-11 15:00:00,693061.754971
power,AA,CCGT_pp,2019-01-11 16:00:00,703759.244867
power,AA,CCGT_pp,2019-01-11 17:00:00,730702.51552
power,AA,CCGT_pp,2019-01-11 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-11 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-11 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-11 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-11 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-11 23:00:00,860000.0
power,AA,CCGT_pp,2019-01-12 00:00:00,699551.564792
power,AA,CCGT_pp,2019-01-12 01:00:00,701233.640548
power,AA,CCGT_pp,2019-01-12 02:00:00,679505.99009
power,AA,CCGT_pp,2019-01-12 03:00:00,673534.121439
power,AA,CCGT_pp,2019-01-12 04:00:00,693281.101752
power,AA,CCGT_pp,2019-01-12 05:00:00,632049.537984
power,AA,CCGT_pp,2019-01-12 06:00:00,453755.444259
power,AA,CCGT_pp,2019-01-12 07:00:00,449887.311374
power,AA,CCGT_pp,2019-01-12 08:00:00,534565.716863
power,AA,CCGT_pp,2019-01-12 09:00:00,500119.476308
power,AA,CCGT_pp,2019-01-12 10:00:00,505845.964203
power,AA,CCGT_pp,2019-01-12 11:00:00,518846.001007
power,AA,CCGT_pp,2019-01-12 12:00:00,578226.92647
power,AA,CCGT_pp,2019-01-12 13:00:00,610355.03767
power,AA,CCGT_pp,2019-01-12 14:00:00,617693.201942
power,AA,CCGT_pp,2019-01-12 15:00:00,611690.413588
power,AA,CCGT_pp,2019-01-12 16:00:00,612792.323799
power,AA,CCGT_pp,2019-01-12 17:00:00,672165.407138
power,AA,CCGT_pp,2019-01-12 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-12 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-12 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-12 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-12 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-12 23:00:00,860000.0
power,AA,CCGT_pp,2019-01-13 00:00:00,835083.132263
power,AA,CCGT_pp,2019-01-13 01:00:00,795071.609245
power,AA,CCGT_pp,2019-01-13 02:00:00,707484.196949
power,AA,CCGT_pp,2019-01-13 03:00:00,689936.855624
power,AA,CCGT_pp,2019-01-13 04:00:00,687050.45201
power,AA,CCGT_pp,2019-01-13 05:00:00,650204.019917
power,AA,CCGT_pp,2019-01-13 06:00:00,539764.480764
power,AA,CCGT_pp,2019-01-13 07:00:00,475026.095496
power,AA,CCGT_pp,2019-01-13 08:00:00,258634.065275
power,AA,CCGT_pp,2019-01-13 09:00:00,257922.710102
power,AA,CCGT_pp,2019-01-13 10:00:00,287614.012575
power,AA,CCGT_pp,2019-01-13 11:00:00,310149.02047
power,AA,CCGT_pp,2019-01-13 12:00:00,462236.240096
power,AA,CCGT_pp,2019-01-13 13:00:00,537245.7618
power,AA,CCGT_pp,2019-01-13 14:00:00,545463.930452
power,AA,CCGT_pp,2019-01-13 15:00:00,555534.840515
power,AA,CCGT_pp,2019-01-13 16:00:00,545652.514389
power,AA,CCGT_pp,2019-01-13 17:00:00,0.0
power,AA,CCGT_pp,2019-01-13 18:00:00,355960.079675
power,AA,CCGT_pp,2019-01-13 19:00:00,572410.472704
power,AA,CCGT_pp,2019-01-13 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-13 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-13 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-13 23:00:00,804148.850503
power,AA,CCGT_pp,2019-01-14 00:00:00,762186.517784
power,AA,CCGT_pp,2019-01-14 01:00:00,689339.66827
power,AA,CCGT_pp,2019-01-14 02:00:00,644331.682087
power,AA,CCGT_pp,2019-01-14 03:00:00,636418.955472
power,AA,CCGT_pp,2019-01-14 04:00:00,590385.798436
power,AA,CCGT_pp,2019-01-14 05:00:00,637245.0642
power,AA,CCGT_pp,2019-01-14 06:00:00,538707.825857
power,AA,CCGT_pp,2019-01-14 07:00:00,515383.442861
power,AA,CCGT_pp,2019-01-14 08:00:00,550750.187338
power,AA,CCGT_pp,2019-01-14 09:00:00,633672.709122
power,AA,CCGT_pp,2019-01-14 10:00:00,615521.830844
power,AA,CCGT_pp,2019-01-14 11:00:00,679537.331875
power,AA,CCGT_pp,2019-01-14 12:00:00,702744.726795
power,AA,CCGT_pp,2019-01-14 13:00:00,740605.592716
power,AA,CCGT_pp,2019-01-14 14:00:00,753042.394172
power,AA,CCGT_pp,2019-01-14 15:00:00,776236.050047
power,AA,CCGT_pp,2019-01-14 16:00:00,768862.120235
power,AA,CCGT_pp,2019-01-14 17:00:00,745851.919938
power,AA,CCGT_pp,2019-01-14 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-14 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-14 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-14 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-14 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-14 23:00:00,860000.0
power,AA,CCGT_pp,2019-01-15 00:00:00,850172.054192
power,AA,CCGT_pp,2019-01-15 01:00:00,787517.19556
power,AA,CCGT_pp,2019-01-15 02:00:00,758026.115113
power,AA,CCGT_pp,2019-01-15 03:00:00,714730.064677
power,AA,CCGT_pp,2019-01-15 04:00:00,775911.862592
power,AA,CCGT_pp,2019-01-15 05:00:00,860000.0
power,AA,CCGT_pp,2019-01-15 06:00:00,677633.22422
power,AA,CCGT_pp,2019-01-15 07:00:00,560150.264449
power,AA,CCGT_pp,2019-01-15 08:00:00,555658.776349
power,AA,CCGT_pp,2019-01-15 09:00:00,606023.010033
power,AA,CCGT_pp,2019-01-15 10:00:00,600531.584606
power,AA,CCGT_pp,2019-01-15 11:00:00,619251.93241
power,AA,CCGT_pp,2019-01-15 12:00:00,627270.708107
power,AA,CCGT_pp,2019-01-15 13:00:00,711164.24654
power,AA,CCGT_pp,2019-01-15 14:00:00,716959.123605
power,AA,CCGT_pp,2019-01-15 15:00:00,709896.915604
power,AA,CCGT_pp,2019-01-15 16:00:00,733222.99583
power,AA,CCGT_pp,2019-01-15 17:00:00,739315.448838
power,AA,CCGT_pp,2019-01-15 18:00:00,860000.0
power,AA,CCGT_pp,2019-01-15 19:00:00,860000.0
power,AA,CCGT_pp,2019-01-15 20:00:00,860000.0
power,AA,CCGT_pp,2019-01-15 21:00:00,860000.0
power,AA,CCGT_pp,2019-01-15 22:00:00,860000.0
power,AA,CCGT_pp,2019-01-15 23:00:00,860000.0
power,AA,GT_pp,2019-01-01 00:00:00,0.0
power,AA,GT_pp,2019-01-01 01:00:00,0.0
power,AA,GT_pp,2019-01-01 02:00:00,0.0
power,AA,GT_pp,2019-01-01 03:00:00,0.0
power,AA,GT_pp,2019-01-01 04:00:00,0.0
power,AA,GT_pp,2019-01-01 05:00:00,0.0
power,AA,GT_pp,2019-01-01 06:00:00,0.0
power,AA,GT_pp,2019-01-01 07:00:00,0.0
power,AA,GT_pp,2019-01-01 08:00:00,0.0
power,AA,GT_pp,2019-01-01 09:00:00,0.0
power,AA,GT_pp,2019-01-01 10:00:00,0.0
power,AA,GT_pp,2019-01-01 11:00:00,0.0
power,AA,GT_pp,2019-01-01 12:00:00,0.0
power,AA,GT_pp,2019-01-01 13:00:00,0.0
power,AA,GT_pp,2019-01-01 14:00:00,0.0
power,AA,GT_pp,2019-01-01 15:00:00,0.0
power,AA,GT_pp,2019-01-01 16:00:00,0.0
power,AA,GT_pp,2019-01-01 17:00:00,0.0
power,AA,GT_pp,2019-01-01 18:00:00,0.0
power,AA,GT_pp,2019-01-01 19:00:00,0.0
power,AA,GT_pp,2019-01-01 20:00:00,0.0
power,AA,GT_pp,2019-01-01 21:00:00,0.0
power,AA,GT_pp,2019-01-01 22:00:00,0.0
power,AA,GT_pp,2019-01-01 23:00:00,0.0
power,AA,GT_pp,2019-01-02 00:00:00,0.0
power,AA,GT_pp,2019-01-02 01:00:00,0.0
power,AA,GT_pp,2019-01-02 02:00:00,0.0
power,AA,GT_pp,2019-01-02 03:00:00,0.0
power,AA,GT_pp,2019-01-02 04:00:00,0.0
power,AA,GT_pp,2019-01-02 05:00:00,0.0
power,AA,GT_pp,2019-01-02 06:00:00,0.0
power,AA,GT_pp,2019-01-02 07:00:00,0.0
power,AA,GT_pp,2019-01-02 08:00:00,0.0
power,AA,GT_pp,2019-01-02 09:00:00,0.0
power,AA,GT_pp,2019-01-02 10:00:00,0.0
power,AA,GT_pp,2019-01-02 11:00:00,0.0
power,AA,GT_pp,2019-01-02 12:00:00,0.0
power,AA,GT_pp,2019-01-02 13:00:00,0.0
power,AA,GT_pp,2019-01-02 14:00:00,0.0
power,AA,GT_pp,2019-01-02 15:00:00,0.0
power,AA,GT_pp,2019-01-02 16:00:00,0.0
power,AA,GT_pp,2019-01-02 17:00:00,0.0
power,AA,GT_pp,2019-01-02 18:00:00,0.0
power,AA,GT_pp,2019-01-02 19:00:00,0.0
power,AA,GT_pp,2019-01-02 20:00:00,0.0
power,AA,GT_pp,2019-01-02 21:00:00,0.0
power,AA,GT_pp,2019-01-02 22:00:00,0.0
power,AA,GT_pp,2019-01-02 23:00:00,0.0
power,AA,GT_pp,2019-01-03 00:00:00,0.0
power,AA,GT_pp,2019-01-03 01:00:00,0.0
power,AA,GT_pp,2019-01-03 02:00:00,0.0
power,AA,GT_pp,2019-01-03 03:00:00,0.0
power,AA,GT_pp,2019-01-03 04:00:00,0.0
power,AA,GT_pp,2019-01-03 05:00:00,0.0
power,AA,GT_pp,2019-01-03 06:00:00,0.0
power,AA,GT_pp,2019-01-03 07:00:00,0.0
power,AA,GT_pp,2019-01-03 08:00:00,0.0
power,AA,GT_pp,2019-01-03 09:00:00,0.0
power,AA,GT_pp,2019-01-03 10:00:00,0.0
power,AA,GT_pp,2019-01-03 11:00:00,0.0
power,AA,GT_pp,2019-01-03 12:00:00,0.0
power,AA,GT_pp,2019-01-03 13:00:00,0.0
power,AA,GT_pp,2019-01-03 14:00:00,0.0
power,AA,GT_pp,2019-01-03 15:00:00,0.0
power,AA,GT_pp,2019-01-03 16:00:00,0.0
power,AA,GT_pp,2019-01-03 17:00:00,0.0
power,AA,GT_pp,2019-01-03 18:00:00,0.0
power,AA,GT_pp,2019-01-03 19:00:00,0.0
power,AA,GT_pp,2019-01-03 20:00:00,0.0
power,AA,GT_pp,2019-01-03 21:00:00,0.0
power,AA,GT_pp,2019-01-03 22:00:00,0.0
power,AA,GT_pp,2019-01-03 23:00:00,0.0
power,AA,GT_pp,2019-01-04 00:00:00,0.0
power,AA,GT_pp,2019-01-04 01:00:00,0.0
power,AA,GT_pp,2019-01-04 02:00:00,0.0
power,AA,GT_pp,2019-01-04 03:00:00,0.0
power,AA,GT_pp,2019-01-04 04:00:00,0.0
power,AA,GT_pp,2019-01-04 05:00:00,0.0
power,AA,GT_pp,2019-01-04 06:00:00,0.0
power,AA,GT_pp,2019-01-04 07:00:00,0.0
power,AA,GT_pp,2019-01-04 08:00:00,0.0
power,AA,GT_pp,2019-01-04 09:00:00,0.0
power,AA,GT_pp,2019-01-04 10:00:00,0.0
power,AA,GT_pp,2019-01-04 11:00:00,0.0
power,AA,GT_pp,2019-01-04 12:00:00,0.0
power,AA,GT_pp,2019-01-04 13:00:00,0.0
power,AA,GT_pp,2019-01-04 14:00:00,0.0
power,AA,GT_pp,2019-01-04 15:00:00,0.0
power,AA,GT_pp,2019-01-04 16:00:00,0.0
