carriers,locs,techs,timesteps,capacity_factor
power,AA,CCGT_pp,2019-01-07 04:00:00,0.5615025070209303
power,AA,CCGT_pp,2019-01-07 05:00:00,0.6063146713372093
power,AA,CCGT_pp,2019-01-07 06:00:00,0.4625405922860465
power,AA,CCGT_pp,2019-01-07 07:00:00,0.38129296586976746
power,AA,CCGT_pp,2019-01-07 08:00:00,0.4269083590883721
power,AA,CCGT_pp,2019-01-07 09:00:00,0.39870876448488374
power,AA,CCGT_pp,2019-01-07 10:00:00,0.4548121156209302
power,AA,CCGT_pp,2019-01-07 11:00:00,0.5137774720116279
power,AA,CCGT_pp,2019-01-07 12:00:00,0.4451101312604651
power,AA,CCGT_pp,2019-01-07 13:00:00,0.5164828478790697
power,AA,CCGT_pp,2019-01-07 14:00:00,0.5017092827906977
power,AA,CCGT_pp,2019-01-07 15:00:00,0.48274146598023254
power,AA,CCGT_pp,2019-01-07 16:00:00,0.5996762537116279
power,AA,CCGT_pp,2019-01-07 17:00:00,0.7222752214732558
power,AA,CCGT_pp,2019-01-07 18:00:00,1.0
power,AA,CCGT_pp,2019-01-07 19:00:00,1.0
power,AA,CCGT_pp,2019-01-07 20:00:00,1.0
power,AA,CCGT_pp,2019-01-07 21:00:00,0.9234371199755814
power,AA,CCGT_pp,2019-01-07 22:00:00,0.8016040469313954
power,AA,CCGT_pp,2019-01-07 23:00:00,0.7570696443046512
power,AA,CCGT_pp,2019-01-08 00:00:00,0.6494834146058139
power,AA,CCGT_pp,2019-01-08 01:00:00,0.6159205846197674
power,AA,CCGT_pp,2019-01-08 02:00:00,0.5631922216372094
power,AA,CCGT_pp,2019-01-08 03:00:00,0.5624052311546511
power,AA,CCGT_pp,2019-01-08 04:00:00,0.5757377759918605
power,AA,CCGT_pp,2019-01-08 05:00:00,0.6340445129337209
power,AA,CCGT_pp,2019-01-08 06:00:00,0.5060935845034884
power,AA,CCGT_pp,2019-01-08 07:00:00,0.5015644446151163
power,AA,CCGT_pp,2019-01-08 08:00:00,0.5222675830197674
power,AA,CCGT_pp,2019-01-08 09:00:00,0.5392590985802326
power,AA,CCGT_pp,2019-01-08 10:00:00,0.5979656996209303
power,AA,CCGT_pp,2019-01-08 11:00:00,0.6659195348104652
power,AA,CCGT_pp,2019-01-08 12:00:00,0.540094531777907
power,AA,CCGT_pp,2019-01-08 13:00:00,0.5553798933965116
power,AA,CCGT_pp,2019-01-08 14:00:00,0.6251025295569768
