locs,techs,timesteps,resource
AA,demand_power,2019-01-08 12:00:00,-917944.6997
AA,demand_power,2019-01-08 13:00:00,-923162.6675
AA,demand_power,2019-01-08 14:00:00,-950642.9820000001
AA,demand_power,2019-01-08 15:00:00,-949861.7608
AA,demand_power,2019-01-08 16:00:00,-949773.3207
AA,demand_power,2019-01-08 17:00:00,-1011209.733
AA,demand_power,2019-01-08 18:00:00,-1094574.384
AA,demand_power,2019-01-08 19:00:00,-1192605.357
AA,demand_power,2019-01-08 20:00:00,-1197793.845
AA,demand_power,2019-01-08 21:00:00,-889373.6236
AA,demand_power,2019-01-08 22:00:00,-981405.4079999999
AA,demand_power,2019-01-08 23:00:00,-956612.6909
AA,demand_power,2019-01-09 00:00:00,-917468.1057
AA,demand_power,2019-01-09 01:00:00,-888725.0627
AA,demand_power,2019-01-09 02:00:00,-867499.4309
AA,demand_power,2019-01-09 03:00:00,-860817.2876
AA,demand_power,2019-01-09 04:00:00,-878308.7804
AA,demand_power,2019-01-09 05:00:00,-903366.8179
AA,demand_power,2019-01-09 06:00:00,-816007.6206
AA,demand_power,2019-01-09 07:00:00,-818857.3582
AA,demand_power,2019-01-09 08:00:00,-834825.7154
AA,demand_power,2019-01-09 09:00:00,-853496.41
AA,demand_power,2019-01-09 10:00:00,-888331.9954
AA,demand_power,2019-01-09 11:00:00,-886907.1266
AA,demand_power,2019-01-09 12:00:00,-933682.1299
AA,demand_power,2019-01-09 13:00:00,-950878.8223
AA,demand_power,2019-01-09 14:00:00,-981636.335
AA,demand_power,2019-01-09 15:00:00,-978639.1972
AA,demand_power,2019-01-09 16:00:00,-954858.6283
AA,demand_power,2019-01-09 17:00:00,-993182.6856
AA,demand_power,2019-01-09 18:00:00,-1118703.8
AA,demand_power,2019-01-09 19:00:00,-1198943.567
AA,demand_power,2019-01-09 20:00:00,-1170701.6840000001
AA,demand_power,2019-01-09 21:00:00,-1135718.699
AA,demand_power,2019-01-09 22:00:00,-1068504.1979999999
AA,demand_power,2019-01-09 23:00:00,-1029000.939
AA,demand_power,2019-01-10 00:00:00,-1026504.962
AA,demand_power,2019-01-10 01:00:00,-1003304.167
AA,demand_power,2019-01-10 02:00:00,-1006296.392
AA,demand_power,2019-01-10 03:00:00,-970866.2922
AA,demand_power,2019-01-10 04:00:00,-997481.8587
AA,demand_power,2019-01-10 05:00:00,-988495.3586
AA,demand_power,2019-01-10 06:00:00,-937470.3156
AA,demand_power,2019-01-10 07:00:00,-934551.7912
AA,demand_power,2019-01-10 08:00:00,-962371.1262
AA,demand_power,2019-01-10 09:00:00,-956425.9839
AA,demand_power,2019-01-10 10:00:00,-970512.5317
AA,demand_power,2019-01-10 11:00:00,-989242.1864
AA,demand_power,2019-01-10 12:00:00,-994700.9079
AA,demand_power,2019-01-10 13:00:00,-1020535.253
AA,demand_power,2019-01-10 14:00:00,-1028337.6379999999
AA,demand_power,2019-01-10 15:00:00,-1046580.872
AA,demand_power,2019-01-10 16:00:00,-1028622.6120000001
AA,demand_power,2019-01-10 17:00:00,-1009681.684
AA,demand_power,2019-01-10 18:00:00,-1194256.24
AA,demand_power,2019-01-10 19:00:00,-1221122.387
AA,demand_power,2019-01-10 20:00:00,-1241517.664
AA,demand_power,2019-01-10 21:00:00,-1188492.8909999998
AA,demand_power,2019-01-10 22:00:00,-1126879.5990000002
AA,demand_power,2019-01-10 23:00:00,-1076282.017
AA,demand_power,2019-01-11 00:00:00,-1035894.3559999999
AA,demand_power,2019-01-11 01:00:00,-1051223.979
AA,demand_power,2019-01-11 02:00:00,-1022677.47
AA,demand_power,2019-01-11 03:00:00,-1002827.573
AA,demand_power,2019-01-11 04:00:00,-1011425.92
AA,demand_power,2019-01-11 05:00:00,-1018943.3309999999
AA,demand_power,2019-01-11 06:00:00,-938285.9301
AA,demand_power,2019-01-11 07:00:00,-968611.0688
AA,demand_power,2019-01-11 08:00:00,-975214.5987
AA,demand_power,2019-01-11 09:00:00,-999152.3945
AA,demand_power,2019-01-11 10:00:00,-1007691.781
AA,demand_power,2019-01-11 11:00:00,-1021670.235
AA,demand_power,2019-01-11 12:00:00,-991969.0904
AA,demand_power,2019-01-11 13:00:00,-1040031.3890000001
AA,demand_power,2019-01-11 14:00:00,-1034960.821
AA,demand_power,2019-01-11 15:00:00,-1024986.74
AA,demand_power,2019-01-11 16:00:00,-1027428.67
AA,demand_power,2019-01-11 17:00:00,-1038596.694
AA,demand_power,2019-01-11 18:00:00,-1187303.863
AA,demand_power,2019-01-11 19:00:00,-1236938.43
AA,demand_power,2019-01-11 20:00:00,-1300934.693
AA,demand_power,2019-01-11 21:00:00,-1221648.114
AA,demand_power,2019-01-11 22:00:00,-1196609.73
AA,demand_power,2019-01-11 23:00:00,-1114021.386
AA,demand_power,2019-01-12 00:00:00,-1022849.437
AA,demand_power,2019-01-12 01:00:00,-1023679.791
AA,demand_power,2019-01-12 02:00:00,-1012953.968
AA,demand_power,2019-01-12 03:00:00,-1010005.964
AA,demand_power,2019-01-12 04:00:00,-1019754.032
AA,demand_power,2019-01-12 05:00:00,-989527.1601
AA,demand_power,2019-01-12 06:00:00,-901681.5421
AA,demand_power,2019-01-12 07:00:00,-901288.4748
AA,demand_power,2019-01-12 08:00:00,-945022.1202
AA,demand_power,2019-01-12 09:00:00,-929623.7105
AA,demand_power,2019-01-12 10:00:00,-933397.1562
AA,demand_power,2019-01-12 11:00:00,-940501.8468
AA,demand_power,2019-01-12 12:00:00,-969770.6172
AA,demand_power,2019-01-12 13:00:00,-985021.6267
AA,demand_power,2019-01-12 14:00:00,-987311.2435
AA,demand_power,2019-01-12 15:00:00,-982628.8298
AA,demand_power,2019-01-12 16:00:00,-981484.0214
AA,demand_power,2019-01-12 17:00:00,-1009485.15
AA,demand_power,2019-01-12 18:00:00,-1132333.4070000001
AA,demand_power,2019-01-12 19:00:00,-1245300.936
AA,demand_power,2019-01-12 20:00:00,-1238309.252
AA,demand_power,2019-01-12 21:00:00,-1236643.63
AA,demand_power,2019-01-12 22:00:00,-1186625.822
AA,demand_power,2019-01-12 23:00:00,-1105005.406
AA,demand_power,2019-01-13 00:00:00,-1089754.397
AA,demand_power,2019-01-13 01:00:00,-1070002.767
AA,demand_power,2019-01-13 02:00:00,-1026765.3690000001
AA,demand_power,2019-01-13 03:00:00,-1018103.15
AA,demand_power,2019-01-13 04:00:00,-1016678.281
AA,demand_power,2019-01-13 05:00:00,-998489.0935
AA,demand_power,2019-01-13 06:00:00,-944064.0188
AA,demand_power,2019-01-13 07:00:00,-913306.5061
AA,demand_power,2019-01-13 08:00:00,-808161.0155
AA,demand_power,2019-01-13 09:00:00,-809389.3507
AA,demand_power,2019-01-13 10:00:00,-825259.4411
AA,demand_power,2019-01-13 11:00:00,-836854.9251
AA,demand_power,2019-01-13 12:00:00,-912323.838
AA,demand_power,2019-01-13 13:00:00,-948766.0858
AA,demand_power,2019-01-13 14:00:00,-951615.8234
AA,demand_power,2019-01-13 15:00:00,-955010.9418
AA,demand_power,2019-01-13 16:00:00,-948373.0186
AA,demand_power,2019-01-13 17:00:00,-669776.7752
AA,demand_power,2019-01-13 18:00:00,-853236.0029
AA,demand_power,2019-01-13 19:00:00,-960086.4228
AA,demand_power,2019-01-13 20:00:00,-1158973.54
AA,demand_power,2019-01-13 21:00:00,-1134200.477
AA,demand_power,2019-01-13 22:00:00,-1119121.4340000001
AA,demand_power,2019-01-13 23:00:00,-1074483.7340000002
AA,demand_power,2019-01-14 00:00:00,-1053769.09
AA,demand_power,2019-01-14 01:00:00,-1017808.349
AA,demand_power,2019-01-14 02:00:00,-995590.2225
AA,demand_power,2019-01-14 03:00:00,-991684.1167
AA,demand_power,2019-01-14 04:00:00,-968959.916
AA,demand_power,2019-01-14 05:00:00,-992091.9240000001
AA,demand_power,2019-01-14 06:00:00,-943641.4715
AA,demand_power,2019-01-14 07:00:00,-933755.83
AA,demand_power,2019-01-14 08:00:00,-953340.406
AA,demand_power,2019-01-14 09:00:00,-996056.9899
AA,demand_power,2019-01-14 10:00:00,-988288.9983
AA,demand_power,2019-01-14 11:00:00,-1020328.8929999999
AA,demand_power,2019-01-14 12:00:00,-1031683.623
AA,demand_power,2019-01-14 13:00:00,-1049646.797
AA,demand_power,2019-01-14 14:00:00,-1054624.011
AA,demand_power,2019-01-14 15:00:00,-1064209.938
AA,demand_power,2019-01-14 16:00:00,-1058878.9640000002
AA,demand_power,2019-01-14 17:00:00,-1045951.965
AA,demand_power,2019-01-14 18:00:00,-1151200.635
AA,demand_power,2019-01-14 19:00:00,-1259737.805
AA,demand_power,2019-01-14 20:00:00,-1242141.658
AA,demand_power,2019-01-14 21:00:00,-1225387.166
AA,demand_power,2019-01-14 22:00:00,-1165444.41
AA,demand_power,2019-01-14 23:00:00,-1126137.6840000001
AA,demand_power,2019-01-15 00:00:00,-1097203.021
AA,demand_power,2019-01-15 01:00:00,-1066273.5420000001
AA,demand_power,2019-01-15 02:00:00,-1051715.313
AA,demand_power,2019-01-15 03:00:00,-1030342.281
AA,demand_power,2019-01-15 04:00:00,-1060544.586
AA,demand_power,2019-01-15 05:00:00,-1115962.156
AA,demand_power,2019-01-15 06:00:00,-1012202.2270000001
AA,demand_power,2019-01-15 07:00:00,-955973.9566
AA,demand_power,2019-01-15 08:00:00,-956062.3967
AA,demand_power,2019-01-15 09:00:00,-983031.7237
AA,demand_power,2019-01-15 10:00:00,-981940.9621
AA,demand_power,2019-01-15 11:00:00,-992352.3309999999
AA,demand_power,2019-01-15 12:00:00,-996214.2168
AA,demand_power,2019-01-15 13:00:00,-1036940.8979999999
AA,demand_power,2019-01-15 14:00:00,-1037859.692
AA,demand_power,2019-01-15 15:00:00,-1032111.084
AA,demand_power,2019-01-15 16:00:00,-1041470.998
AA,demand_power,2019-01-15 17:00:00,-1042768.12
AA,demand_power,2019-01-15 18:00:00,-1167670.153
AA,demand_power,2019-01-15 19:00:00,-1250278.15
AA,demand_power,2019-01-15 20:00:00,-1234491.587
AA,demand_power,2019-01-15 21:00:00,-1232388.6770000001
AA,demand_power,2019-01-15 22:00:00,-1202618.746
AA,demand_power,2019-01-15 23:00:00,-1180995.133
AH,demand_power,2019-01-01 00:00:00,-286369.0204
AH,demand_power,2019-01-01 01:00:00,-286679.7973
AH,demand_power,2019-01-01 02:00:00,-287203.6782
AH,demand_power,2019-01-01 03:00:00,-281068.0555
AH,demand_power,2019-01-01 04:00:00,-281224.9238
AH,demand_power,2019-01-01 05:00:00,-257472.6937
AH,demand_power,2019-01-01 06:00:00,-244568.0554
AH,demand_power,2019-01-01 07:00:00,-247157.8624
AH,demand_power,2019-01-01 08:00:00,-247971.8017
AH,demand_power,2019-01-01 09:00:00,-252811.0411
AH,demand_power,2019-01-01 10:00:00,-254024.5507
AH,demand_power,2019-01-01 11:00:00,-264294.9853
AH,demand_power,2019-01-01 12:00:00,-267891.1174
AH,demand_power,2019-01-01 13:00:00,-270303.3376
AH,demand_power,2019-01-01 14:00:00,-271596.7612
AH,demand_power,2019-01-01 15:00:00,-274552.101
AH,demand_power,2019-01-01 16:00:00,-275265.4079
AH,demand_power,2019-01-01 17:00:00,-253462.1926
AH,demand_power,2019-01-01 18:00:00,-321372.852
AH,demand_power,2019-01-01 19:00:00,-336205.7867
AH,demand_power,2019-01-01 20:00:00,-346641.969
AH,demand_power,2019-01-01 21:00:00,-343662.951
AH,demand_power,2019-01-01 22:00:00,-323511.2927
AH,demand_power,2019-01-01 23:00:00,-316617.9664
AH,demand_power,2019-01-02 00:00:00,-296984.2694
AH,demand_power,2019-01-02 01:00:00,-288442.3459
AH,demand_power,2019-01-02 02:00:00,-278336.179
AH,demand_power,2019-01-02 03:00:00,-272231.6339
AH,demand_power,2019-01-02 04:00:00,-270500.163
AH,demand_power,2019-01-02 05:00:00,-267904.4364
AH,demand_power,2019-01-02 06:00:00,-255319.4542
AH,demand_power,2019-01-02 07:00:00,-262461.402
AH,demand_power,2019-01-02 08:00:00,-270408.4098
AH,demand_power,2019-01-02 09:00:00,-285938.3725
AH,demand_power,2019-01-02 10:00:00,-295326.7929
AH,demand_power,2019-01-02 11:00:00,-292223.4642
AH,demand_power,2019-01-02 12:00:00,-295038.2144
AH,demand_power,2019-01-02 13:00:00,-342347.3291
AH,demand_power,2019-01-02 14:00:00,-285186.5886
AH,demand_power,2019-01-02 15:00:00,-294384.1032
AH,demand_power,2019-01-02 16:00:00,-284535.4371
AH,demand_power,2019-01-02 17:00:00,-292445.4476
AH,demand_power,2019-01-02 18:00:00,-332263.3605
AH,demand_power,2019-01-02 19:00:00,-357972.0048
AH,demand_power,2019-01-02 20:00:00,-357235.0197
AH,demand_power,2019-01-02 21:00:00,-346816.596
AH,demand_power,2019-01-02 22:00:00,-335712.9834
AH,demand_power,2019-01-02 23:00:00,-319345.4031
AH,demand_power,2019-01-03 00:00:00,-311133.495
AH,demand_power,2019-01-03 01:00:00,-297960.9966
AH,demand_power,2019-01-03 02:00:00,-285149.5913
AH,demand_power,2019-01-03 03:00:00,-284763.3401
AH,demand_power,2019-01-03 04:00:00,-281338.8753
AH,demand_power,2019-01-03 05:00:00,-277414.2077
AH,demand_power,2019-01-03 06:00:00,-262721.8626
AH,demand_power,2019-01-03 07:00:00,-289824.5629
AH,demand_power,2019-01-03 08:00:00,-296186.6089
AH,demand_power,2019-01-03 09:00:00,-290662.1805
AH,demand_power,2019-01-03 10:00:00,-308358.7018
AH,demand_power,2019-01-03 11:00:00,-320878.5689
AH,demand_power,2019-01-03 12:00:00,-322568.6029
AH,demand_power,2019-01-03 13:00:00,-323564.5687
AH,demand_power,2019-01-03 14:00:00,-327332.3679
AH,demand_power,2019-01-03 15:00:00,-329860.0196
AH,demand_power,2019-01-03 16:00:00,-331591.4906
