costs,locs,techs,timesteps,cost_var
monetary,AA,CCGT_pp,2019-01-14 23:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-15 00:00:00,56578.9502065
monetary,AA,CCGT_pp,2019-01-15 01:00:00,52409.2693645
monetary,AA,CCGT_pp,2019-01-15 02:00:00,50446.6379608
monetary,AA,CCGT_pp,2019-01-15 03:00:00,47565.2858042
monetary,AA,CCGT_pp,2019-01-15 04:00:00,51636.9344555
monetary,AA,CCGT_pp,2019-01-15 05:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-15 06:00:00,45096.4910719
monetary,AA,CCGT_pp,2019-01-15 07:00:00,37278.0000991
monetary,AA,CCGT_pp,2019-01-15 08:00:00,36979.091566
monetary,AA,CCGT_pp,2019-01-15 09:00:00,40330.8313177
monetary,AA,CCGT_pp,2019-01-15 10:00:00,39965.3769555
monetary,AA,CCGT_pp,2019-01-15 11:00:00,41211.2161019
monetary,AA,CCGT_pp,2019-01-15 12:00:00,41744.8656245
monetary,AA,CCGT_pp,2019-01-15 13:00:00,47327.9806073
monetary,AA,CCGT_pp,2019-01-15 14:00:00,47713.6296759
monetary,AA,CCGT_pp,2019-01-15 15:00:00,47243.6397335
monetary,AA,CCGT_pp,2019-01-15 16:00:00,48795.9903725
monetary,AA,CCGT_pp,2019-01-15 17:00:00,49201.4431202
monetary,AA,CCGT_pp,2019-01-15 18:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-15 19:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-15 20:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-15 21:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-15 22:00:00,57233.0
monetary,AA,CCGT_pp,2019-01-15 23:00:00,57233.0
monetary,AA,GT_pp,2019-01-01 00:00:00,0.0
monetary,AA,GT_pp,2019-01-01 01:00:00,0.0
monetary,AA,GT_pp,2019-01-01 02:00:00,0.0
monetary,AA,GT_pp,2019-01-01 03:00:00,0.0
monetary,AA,GT_pp,2019-01-01 04:00:00,0.0
monetary,AA,GT_pp,2019-01-01 05:00:00,0.0
monetary,AA,GT_pp,2019-01-01 06:00:00,0.0
monetary,AA,GT_pp,2019-01-01 07:00:00,0.0
monetary,AA,GT_pp,2019-01-01 08:00:00,0.0
monetary,AA,GT_pp,2019-01-01 09:00:00,0.0
monetary,AA,GT_pp,2019-01-01 10:00:00,0.0
monetary,AA,GT_pp,2019-01-01 11:00:00,0.0
monetary,AA,GT_pp,2019-01-01 12:00:00,0.0
monetary,AA,GT_pp,2019-01-01 13:00:00,0.0
monetary,AA,GT_pp,2019-01-01 14:00:00,0.0
monetary,AA,GT_pp,2019-01-01 15:00:00,0.0
monetary,AA,GT_pp,2019-01-01 16:00:00,0.0
monetary,AA,GT_pp,2019-01-01 17:00:00,0.0
monetary,AA,GT_pp,2019-01-01 18:00:00,0.0
monetary,AA,GT_pp,2019-01-01 19:00:00,0.0
monetary,AA,GT_pp,2019-01-01 20:00:00,0.0
monetary,AA,GT_pp,2019-01-01 21:00:00,0.0
monetary,AA,GT_pp,2019-01-01 22:00:00,0.0
monetary,AA,GT_pp,2019-01-01 23:00:00,0.0
monetary,AA,GT_pp,2019-01-02 00:00:00,0.0
monetary,AA,GT_pp,2019-01-02 01:00:00,0.0
monetary,AA,GT_pp,2019-01-02 02:00:00,0.0
monetary,AA,GT_pp,2019-01-02 03:00:00,0.0
monetary,AA,GT_pp,2019-01-02 04:00:00,0.0
monetary,AA,GT_pp,2019-01-02 05:00:00,0.0
monetary,AA,GT_pp,2019-01-02 06:00:00,0.0
monetary,AA,GT_pp,2019-01-02 07:00:00,0.0
monetary,AA,GT_pp,2019-01-02 08:00:00,0.0
monetary,AA,GT_pp,2019-01-02 09:00:00,0.0
monetary,AA,GT_pp,2019-01-02 10:00:00,0.0
monetary,AA,GT_pp,2019-01-02 11:00:00,0.0
monetary,AA,GT_pp,2019-01-02 12:00:00,0.0
monetary,AA,GT_pp,2019-01-02 13:00:00,0.0
monetary,AA,GT_pp,2019-01-02 14:00:00,0.0
monetary,AA,GT_pp,2019-01-02 15:00:00,0.0
monetary,AA,GT_pp,2019-01-02 16:00:00,0.0
monetary,AA,GT_pp,2019-01-02 17:00:00,0.0
monetary,AA,GT_pp,2019-01-02 18:00:00,0.0
monetary,AA,GT_pp,2019-01-02 19:00:00,0.0
monetary,AA,GT_pp,2019-01-02 20:00:00,0.0
monetary,AA,GT_pp,2019-01-02 21:00:00,0.0
monetary,AA,GT_pp,2019-01-02 22:00:00,0.0
monetary,AA,GT_pp,2019-01-02 23:00:00,0.0
monetary,AA,GT_pp,2019-01-03 00:00:00,0.0
monetary,AA,GT_pp,2019-01-03 01:00:00,0.0
