,UE,UW,NP,BA,AH,WP,CP,EP,AA,TV
109,-19030.80427,-11111.42661,-67223.5104,-69053.71658,-267797.8843,-219885.7206,-99970.19474,-121484.7591,-889108.3032,-44913.68011
110,-19240.92787,-11234.11049,-67965.74105,-69816.15496,-270754.704,-222313.5308,-101073.9893,-122826.101,-898925.1579,-45409.58266
111,-19690.4115,-11496.54839,-69553.47569,-71447.11676,-277079.7527,-227506.9545,-103435.1593,-125695.418,-919924.776,-46470.3872
112,-19150.06361,-11181.058,-67644.77645,-69486.45188,-269476.0793,-221263.6669,-100596.6727,-122246.0612,-894680.0316,-45195.13831
113,-19542.86224,-11410.3995,-69032.27969,-70911.73085,-275003.4674,-225802.1409,-102660.0724,-124753.5247,-913031.359,-46122.16334
114,-20388.19433,-11903.95959,-72018.29068,-73979.03803,-286898.821,-235569.277,-107100.6632,-130149.7741,-952524.7914,-48117.1907
115,-23558.4526,-13754.96344,-83216.76061,-85482.39398,-331510.0966,-272199.0754,-123754.2597,-150387.3876,-1100637.446,-55599.16379
116,-25533.59343,-14908.17967,-90193.65441,-92649.23851,-359303.9055,-295020.2478,-134129.8177,-162995.8672,-1192914.898,-60260.59808
117,-25693.02655,-15001.26714,-90756.82842,-93227.74531,-361547.4183,-296862.37,-134967.3315,-164013.6221,-1200363.522,-60636.86848
118,-25309.90329,-14777.57476,-89403.50196,-91837.57362,-356156.1801,-292435.6871,-132954.7572,-161567.9222,-1182464.222,-59732.67781
119,-23683.81162,-13828.15623,-83659.57289,-85937.26213,-333274.1252,-273647.4986,-124412.7797,-151187.6276,-1106494.148,-55895.01756
120,-22294.7663,-13017.14084,-78752.97508,-80897.07884,-313727.7417,-257598.1911,-117116.024,-142320.5386,-1041598.745,-52616.79893
121,-21681.85321,-12659.28214,-76587.94994,-78673.10941,-305102.9444,-250516.4706,-113896.347,-138407.9557,-1012963.795,-51170.29241
122,-20811.91205,-12151.35367,-73515.01104,-75516.50763,-292861.2967,-240464.9963,-109326.483,-132854.6122,-972320.6411,-49117.18637
123,-20224.6597,-11808.47739,-71440.62869,-73385.6488,-284597.5924,-233679.7651,-106241.6039,-129105.8368,-944884.5467,-47731.24052
124,-19968.9988,-11659.20585,-70537.54425,-72457.97727,-280999.9805,-230725.8079,-104898.5986,-127473.8037,-932940.2155,-47127.8676
125,-19838.90726,-11583.24991,-70078.01506,-71985.93708,-279169.3569,-229222.7042,-104215.2183,-126643.3533,-926862.4131,-46820.84486
126,-19770.02289,-11543.03072,-69834.6912,-71735.98856,-278200.0292,-228426.8005,-103853.3638,-126203.6241,-923644.1749,-46658.2742
127,-18660.40621,-10895.16402,-65915.13386,-67709.71858,-262585.7127,-215606.0673,-98024.46686,-119120.2915,-871803.5174,-44039.52157
128,-18458.48563,-10777.2696,-65201.87918,-66977.04505,-259744.3245,-213273.0365,-96963.76341,-117831.3143,-862369.9033,-43562.97858
129,-17407.86761,-10163.85018,-61490.72593,-63164.85312,-244960.2261,-201133.9858,-91444.7908,-111124.6048,-813285.6298,-41083.46585
130,-17470.9678,-10200.69219,-61713.61802,-63393.81359,-245848.16,-201863.0579,-91776.26063,-111527.4102,-816233.6342,-41232.38554
131,-17449.9344,-10188.41152,-61639.32066,-63317.49343,-245552.182,-201620.0338,-91665.77069,-111393.1417,-815250.9661,-41182.74564
132,-17901.1007,-10451.83187,-63232.99908,-64954.56084,-251900.9089,-206832.8995,-94035.77994,-114273.2001,-836329.1976,-42247.52138
133,-18892.61488,-11030.74261,-66735.37673,-68552.29313,-265853.3092,-218289.0527,-99244.27582,-120602.6153,-882652.1736,-44587.546
134,-18785.66007,-10968.29541,-66357.57465,-68164.20512,-264348.2614,-217053.2755,-98682.43446,-119919.8602,-877655.3061,-44335.12714
135,-19706.29171,-11505.8203,-69609.57019,-71504.73848,-277303.216,-227690.4377,-103518.5792,-125796.7906,-920666.6905,-46507.86532
